Year,Exports of goods and services (% of GDP),Foreign direct investment net inflows (% of GDP),GDP (current US$),Individuals using the Internet (% of population),Industry (including construction) value added (constant 2015 US$)
1993,9.834217455,0.703136167,50.9,926351297.0,133622000000.0
1994,9.888084916,0.725622135,49.81130981,945261958.0,145844000000.0
1995,10.84396804,0.76518964,51.40877533,964279129.0,161731000000.0
1996,10.38516927,0.787231756,53.00352097,983281218.0,171452000000.0
1997,10.69071732,0.817360076,54.59486389,1002335230.0,178991000000.0
1998,11.01846918,0.818720963,56.18213272,1021434576.0,186319000000.0
1999,11.45206461,0.866242339,60.1,1040500054.0,197257000000.0
2000,12.99723631,0.885077949,60.29283905,1059633675.0,208693000000.0
2001,12.55837963,0.883746998,62.00543976,1078970907.0,214059000000.0
2002,14.26438392,0.897242649,62.3,1098313039.0,229631000000.0
2003,14.94791386,0.905456602,65.41201019,1117415123.0,245882000000.0
2004,17.85912496,0.955470157,64.4,1136264583.0,269846000000.0
2005,19.60524669,0.984261473,68.8404541,1154638713.0,295679000000.0
2006,21.26794142,1.036533922,67.9,1172373788.0,334830000000.0
2007,20.79969975,1.123599482,72.3407135,1189691809.0,361696000000.0
2008,24.09735726,1.180361247,74.11849213,1206734806.0,376161000000.0
2009,20.40051937,1.278873603,75.0,1223640160.0,409431000000.0
2010,22.40093325,1.338033835,76.3,1240613620.0,441764000000.0
2011,24.54041132,1.396878498,79.51678467,1257621191.0,457784000000.0
2012,24.53443066,1.498204123,79.9,1274487215.0,472750000000.0
2013,25.4308613,1.5276744,83.13139343,1291132063.0,490647000000.0
2014,22.96796301,1.642465277,85.13391113,1307246509.0,524996000000.0
2015,19.81318916,1.631323487,88.0,1322866505.0,575277000000.0
2016,19.15823491,1.639914019,89.58630371,1338636340.0,619688000000.0
2017,18.79176484,1.704926721,91.79415894,1354195680.0,656005000000.0
2018,19.9278286,1.795595299,95.7,1369003306.0,690881000000.0
2019,18.6642649,1.752534366,95.88594055,1383112050.0,681209000000.0
2020,18.70524736,1.576093232,96.5,1396387127.0,675241000000.0
